rxn,Output
Brc1cccnc1*CC1(C)OB(c2cnn(Cc3ccccc3)c2)OC1(C)C.O*C[C@]12C[C@@]3(C)O[C@](C)(C[C@@](C)(O1)O3)[P+]2(c1ccccc1)[Pd-2]1(OS(C)(=O)=O)[NH2+]c2ccccc2-c2ccccc21*CCC=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,20.69
Brc1cccnc1*CCOC(=O)CC(=O)OCC*CC1c2c[cH-]cc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2([NH2+]c3ccccc3-c3ccccc32)[P+]1(C(C)(C)C)C(C)(C)C.CS(=O)(=O)[O-].[Fe+2].c1cc[cH-]c1*CCC=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,0.0
Brc1cccnc1*NS(=O)(=O)c1ccccc1*CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C(C)(C)C)(C(C)(C)C)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c(C(C)C)c1*C1CCC2=NCCCN2CC1,1.54
Brc1cccnc1*Nc1ccccc1*CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C(C)(C)C)(C(C)(C)C)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c(C(C)C)c1*C1CCC2=NCCCN2CC1,14.75
Brc1cccnc1*Oc1ccccc1*CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(Cl)[NH2+]c2ccccc2-c2ccccc21*CN1CCCN2CCCN=C12,0.0
Brc1cccnc1*C#Cc1ccc(CCCC)cc1*CS(=O)(=O)[O-].[Fe+2].c1ccc([P+](c2ccccc2)(c2cc[cH-]c2)[Pd-2]2([P+](c3ccccc3)(c3ccccc3)c3ccc[cH-]3)[NH2+]c3ccccc3-c3ccccc32)cc1*CN(C)C(=NC(C)(C)C)N(C)C,1.39
Brc1cccnc1*NC(=O)c1ccccc1*COc1ccc(OC)c([P+](C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C*CN(C)C(=NC(C)(C)C)N(C)C,15.82
Brc1cccnc1*OCCCc1ccccc1*CN(C)c1ccc([P+](C(C)(C)C)(C(C)(C)C)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)cc1*CN(C)C(=NC(C)(C)C)N(C)C,0.0
Brc1cccnc1*OCCCc1ccccc1*CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(Cl)[NH2+]c2ccccc2-c2ccccc21*C1CCC2=NCCCN2CC1,0.0
Brc1cccnc1*CCOC(=O)CC(=O)OCC*COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C*CN1CCCN2CCCN=C12,0.24
