"rxn","Output"
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)C",-27.9881409798312
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C)C",-25.2357415471944
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)CC",-49.2607909078561
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C)C=C2)CC",-61.9026671232313
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=C(C=CC=C1)OC)N[C@@H](C2=CC=CC=C2)C",-41.6992188415632
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=C(C=CC=C1)OC)N[C@@H](C2=CC=C(C=C2)C)C",-38.0603276057408
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CC=C(C=C2)C(F)(F)F",-33.4341672122318
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CN=C(C=C2)OC",-24.4592380923916
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*FC(F)(F)C(C=C1)=CC=C1[C@H](NC(C2=CC=CC=C2)=O)CC",-56.5028928269104
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*COC(C=C1)=NC=C1[C@H](NC(C2=CC=CC=C2)=O)CC",-26.2625421431525
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=S([C@H](CCCC)CCCCCCN1C2=C(C=C1)C=CC=C2)(C)=O",8.81448060885644
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(N(CC1=CC=CC=C1)C2=CC=CC=C2)[C@H](CC)CCCCCC",-15.1245661693912
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C([C@H](/C=C/C1=CC=CC=C1)CC)C2=CC=CC=C2",2.07849661557281
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*FC(F)(F)[C@@H](C1=CC=CC=C1)CCC2=CC=CC=C2",-14.3898409142316
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=S([C@H](CCCC)C1=CC=CC=C1)(C)=O",-41.6242898820246
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*N#C[C@@H](C1CCCCC1)C2=CC=CC=C2",-27.403972044633
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@H](C1=CC=C(C=C1)C(OCC)=O)NC(C2=CC=CC=C2)=O",-36.6421177154687
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C(OCC)=O)CC",-20.0189755542676
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](C1=CC=CC=C1)C2=CC=C(C=C2)OC",14.5984385328849
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](C1=CC=CC=C1)C2=CC=C(C=C2)OC",3.72765910745221
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](CC)CCC2CCCCC2",2.22239271619612
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](CC)CCCCCC",28.639760185117
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@@H](C1=CC=CC=C1)C2=CC(OC)=NC=C2",15.1595575909945
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@@H](C1=CC=C(OC)C=C1)C2=CC(OC)=NC=C2",-13.9641423432541
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)CC",22.5490828839639
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](CC)CCCC2=CC=CC=C2",-1.13752312549687
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(N[C@@H](CCCCC)CC1=CC=CC=C1)OCC2=CC=CC=C2",-21.9902937468954
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(OCC1=CC=CC=C1)N[C@@H](CC)CC2=CC=C(C=C2)C(F)(F)F",15.9290075120579
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)C",-1.90591727649466
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)N[C@@H](C)CCCC2=CC=CC=C2",7.01884944041278
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@H](NC(C1=CC=CC=C1)=O)CCCC",1.45383158272669
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*C[C@@H](OC(C1=CC=CC=C1)=O)CCCN2C(C3=C(C2=O)C=CC=C3)=O",-13.8499022397319
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1N(CCC1)[C@@H](CCCCC)CCCOC2=CC3=C(C=C2)C=CC=C3",11.4301335183849
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC1(C)OB([C@H](CCCCC)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3)OC1(C)C",6.82748445698574
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1[C@@](CC)(CCN1C2=CC=CC=C2)/C=C/CCCC3=CC=CC=C3",75.2372216853463
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](C)CCCCC2=CC=CC=C2",-17.9130955524459
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F",4.76035993576592
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@H](C)CCC2=CC=CC=C2",47.1659136862871
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(CCC1)N1[C@H](C)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3",-18.565741983232
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1N(CCC1)[C@H](C)CCCN2C(C3=C(C2=O)C=CC=C3)=O",-21.6144281355717
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1N(CCC1)[C@@H](C)CCCC2=CC=CC=C2",15.8838484778287
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(CCC1)N1[C@H](C)CC2=CC=CC=C2",15.4991927192525
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@@H](C)CCCC2CCCCC2",-11.5717331173989
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=C(C=C1)C(OCC)=O)[C@H](C)CC2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2",-2.73004458804313
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C(CC#CC1=CC=CC=C1)C)NC2=CC=C(C(OCC)=O)C=C2",6.7840246600755
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCCC2=CC=C(C=C2)OC",-6.46345101630279
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C1CCCN1[C@H](CCCCC)CC2=CC=CC=C2",3.34863550289741
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@@H](NC(C1=CC=CC=C1)=O)CCCC2=CC=C(C=C2)OC",-3.34339327981497
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(NC1=CC=CC=C1)[C@H](CC)CCC2CCCCC2",12.8894213354142
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*O=C(C1=CC=CC=C1)O[C@H](C)CCCN2C3=C(C=C2)C=CC=C3",-7.01212610082336
"CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C*CC[C@H](NC(C1=CC=CC=C1)=O)CCC2CCCCC2",11.9454298283487
"CC([C@@H](CO1)N=C1C2=NC=CC=C2)C*CC1(OB(OC1(C)C)[C@H](CCCC1=CC=CC=C1)CCCCC)C",52
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC(C[C@H](C1=CC=CC=C1)NC(C1=CC=CC=C1)=O)(C)C",46
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC(C[C@@H](C(=O)OC(C)(C)C)C1=CC(=NC=C1)C(F)(F)F)(C)C",-24
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*COC1=CC=C(C=C1)/C=C/C[C@@]1(C(N(C2=CC=CC=C12)C)=O)C",46
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*CC.CN1C(=O)[C@](C)(CC2=CC=CC=C2)C2=CC=CC=C21",16
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*C(CCCCC)[C@@]1(C(N(C2=CC=CC=C12)C)=O)C1=CC=CC=C1",25
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*C(C1=CC=CC=C1)N(C[C@]1(COC2=C1C=CC=C2)C)CC2=CC=CC=C2",84
"CC([C@@H](CO1)N=C1C2=CC=CC=N2)C*COC(\C=C\C[C@]1(COC2=C1C=CC=C2)C)=O",69
"CC([C@H]1COC(C2=NC=CC=C2)=N1)C*CC1(OB(OC(C1)(C)C)[C@H](CCC)C1=CC=C(C(=O)OC)C=C1)C",20
"CC([C@H]1COC(C2=NC=CC=C2)=N1)C*CC=1C[C@@]2([C@@H](N(C=3C=CC=CC23)C)C1C1=CC=CC=C1)C",42
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)C",7.06858647122128
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(C1=CC=CC=C1)N[C@@H](C2=CC=C(C=C2)C)C",7.89054681029836
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CC=C(C=C2)C(F)(F)F",14.5086414045003
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*C[C@@H](NC(C1=CC=CC=C1)=O)C2=CN=C(C=C2)OC",15.7276391573167
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*COC(C=C1)=NC=C1[C@H](NC(C2=CC=CC=C2)=O)CC",11.9860631834702
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N1CCCCCC[C@H](S(C2=CC=C(C=C2)C)(=O)=O)CCCC)C3=C(C1=O)C=CC=C3",-10.2744583268015
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*CC1=CC=C(C=C1)S([C@H](CCCC)CCCCCCN2C3=C(C=C2)C=CC=C3)(=O)=O",-6.93548836973667
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=C(N1CCCCCC[C@H](S(=O)(C)=O)CCCC)C2=C(C1=O)C=CC=C2",0.767653461210331
"CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C*O=S([C@H](CCCC)CCCCCCN1C2=C(C=C1)C=CC=C2)(C)=O",3.7901660696596
