"reaction","temp","Output"
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*CCCCC1=CC=C(Br)C=C1*O=[N+]([O-])c1c(Nc2ccc(CCCC)cc2)cc(C(=O)O)cc1","",5.553287954
"NC1=CC(C(C)=O)=CC=C1*CCCCC1=CC=C(Br)C=C1*O=C(C)c1cc(Nc2ccc(CCCC)cc2)ccc1","",1.454462561
"NC1=CC(C(C)=O)=CC=C1*CC(C1=CC=C(Br)C=C1)C*O=C(C)c1cc(Nc2ccc(C(C)C)cc2)ccc1","",5.675575354
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*COC1=CC(Br)=CC=C1*O=[N+]([O-])c1c(Nc2cc(OC)ccc2)cc(C(=O)O)cc1","",1.527780721
"NC1=CC=C(C)C=C1*O=C(OC)C1=CC(Br)=CC(C(OC)=O)=C1*O=C(OC)c1cc(Nc2ccc(C)cc2)cc(C(=O)OC)c1","",5.515391682
"N#CC1=CC=CC(OC)=C1N*CC1=CC=C(Br)C=C1C*O(C)c1c(Nc2cc(C)c(C)cc2)c(C#N)ccc1","",5.234438422
"FC1=CC=CC(N)=N1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2nc(F)ccc2)ncc1","",7.766376974
"NC1=NC=C(C(F)(F)F)C=C1*CC1=CC=CC(Br)=N1*FC(F)(F)c1cnc(Nc2nc(C)ccc2)cc1","",3.416733637
"NC1=CC(C(C)=O)=CC=C1*CC1=CC=CC(Br)=N1*O=C(C)c1cc(Nc2nc(C)ccc2)ccc1","",3.448716133
"C#CC1=CC=CC(N)=C1*CC(C1=CC=CC=C1Br)=O*O=C(C)c1c(Nc2cc(C#C)ccc2)cccc1","",1.237694962
"NC1=CC=C([N+]([O-])=O)C=C1*FC1=CC=C(Br)C(F)=C1*Fc1c(Nc2ccc([N+](=O)[O-])cc2)ccc(F)c1","",4.881618182
"N#Cc1ccc(N)cc1*COC1=CC(Br)=CC=C1*O(C)c1cc(Nc2ccc(C#N)cc2)ccc1","",0.950971941
"FC1=CC(N)=CC=C1*COC1=CC(Br)=CC=C1*Fc1cc(Nc2cc(OC)ccc2)ccc1","",3.710351168
"NC1=CC=CC=C1C*BrC1=CC([N+]([O-])=O)=CC=C1*O=[N+]([O-])c1cc(Nc2c(C)cccc2)ccc1","",4.608131366
"NC1=CC(C(C)=O)=CC=C1*CC1=CC=C(Br)C=C1*O=C(C)c1cc(Nc2ccc(C)cc2)ccc1","",3.617923498
"CC1=C(N)C=NC=C1*CN(C)C1=NC=CC(Br)=C1*N(C)(C)c1nccc(Nc2c(C)ccnc2)c1","",1.136122814
"CC(C1=CC=C(N)C=C1)=O*CC1=CC=C(Br)C=C1C*O=C(C)c1ccc(Nc2cc(C)c(C)cc2)cc1","",5.688194062
"N#CC1=CC=CC(OC)=C1N*OCC1=CC=CC(Br)=C1*O(C)c1c(Nc2cc(CO)ccc2)c(C#N)ccc1","",1.383989278
"CC1=C(N)C=NC=C1*CC1=NC=CC(Br)=C1*N(c1c(C)ccnc1)c1cc(C)ncc1","",5.387971185
"CC1=NC=CC(N)=C1*CC1=CN=CC(Br)=C1*N(c1cc(C)cnc1)c1cc(C)ncc1","",4.423387686
"O=[N+](C1=CN=C(N)C=C1)[O-]*CC1=CC=C(Br)C=C1C*O=[N+]([O-])c1cnc(Nc2cc(C)c(C)cc2)cc1","",7.37954399
"CC1=CC(C)=C(N)C=N1*CC1=NC=CC(Br)=C1*N(c1c(C)cc(C)nc1)c1cc(C)ncc1","",3.442120546
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC1=CC=C(Br)C(F)=C1*Fc1c(Nc2ncc([N+](=O)[O-])cc2)ccc(F)c1","",1.232181133
"O=CC1=C(N)C=NC=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(C=O)ccnc2)cnc1","",1.214783712
"CC1=CN=C(N)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ncc(C)cc2)ncc1","",0.17219765
"N#CC1=CC=CC(OC)=C1N*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2cc(C)c(C)cc2)ncc1","",1.134250085
"FC1=CC=CC(N)=N1*CC1=CC=CC(Br)=N1*Fc1nc(Nc2nc(C)ccc2)ccc1","",5.579657194
"FC1=C(N)C=CN=C1*COC1=CN=CC(Br)=C1*Fc1c(Nc2cc(OC)cnc2)ccnc1","",7.293629007
