"Group","R2","MAE","MSE"
"concat_01_temp_add_pr",0.892854,0.160373,0.047725
"concat_02_temp_add_pr",0.885986,0.154991,0.051816
"concat_03_temp_add_pr",0.898185,0.16273,0.051829
"concat_04_temp_add_pr",0.909016,0.156859,0.046868
"concat_05_temp_add_pr",0.881126,0.162232,0.054251
"concat_06_temp_add_pr",0.89324,0.165799,0.051435
"concat_07_temp_add_pr",0.881693,0.17058,0.058766
"concat_08_temp_add_pr",0.892404,0.158731,0.049247
"concat_09_temp_add_pr",0.892493,0.168703,0.053075
"concat_10_temp_add_pr",0.892002,0.178061,0.061797
