"Group","R2","MAE","MSE"
"sum_01_temp_add_pr",0.889999,0.164091,0.048996
"sum_02_temp_add_pr",0.875816,0.169416,0.056438
"sum_03_temp_add_pr",0.876733,0.184232,0.062749
"sum_04_temp_add_pr",0.912669,0.151037,0.044986
"sum_05_temp_add_pr",0.871191,0.168082,0.058785
"sum_06_temp_add_pr",0.891423,0.169759,0.05231
"sum_07_temp_add_pr",0.866869,0.184624,0.066129
"sum_08_temp_add_pr",0.879339,0.171172,0.055227
"sum_09_temp_add_pr",0.877261,0.185889,0.060595
"sum_10_temp_add_pr",0.866517,0.204803,0.076379
