"idx","R2_concat","R2_sum"
1,0.203902,0.017943
2,0.537958,-0.061046
3,0.659664,-0.103218
4,0.739419,0.417971
5,0.730606,0.554771
6,0.771933,0.31265
7,0.7869,0.481151
8,0.788538,0.652813
9,0.802315,0.713865
10,0.806152,0.728183
11,0.784539,0.67933
12,0.827184,0.751984
13,0.836746,0.764196
14,0.839537,0.755332
15,0.841758,0.776439
16,0.839847,0.73424
17,0.84598,0.77917
18,0.840766,0.800096
19,0.870453,0.801125
20,0.876458,0.817232
21,0.873039,0.805565
22,0.875192,0.822757
23,0.890096,0.824928
24,0.897363,0.837844
25,0.901019,0.824752
26,0.891671,0.838924
27,0.908769,0.848542
28,0.909319,0.844769
29,0.89058,0.826152
30,0.902509,0.820975
31,0.906066,0.814603
32,0.914647,0.850977
33,0.923197,0.858799
34,0.928486,0.859042
35,0.92918,0.854742
36,0.920158,0.848375
37,0.93161,0.87006
38,0.927476,0.868875
39,0.932646,0.868696
40,0.928625,0.877234
41,0.932374,0.875374
42,0.931098,0.870512
43,0.938332,0.878747
44,0.939044,0.882525
45,0.937667,0.889206
46,0.930911,0.891825
47,0.940675,0.895216
48,0.937015,0.893595
49,0.941289,0.901085
50,0.938683,0.900358
51,0.940101,0.894824
52,0.942678,0.901422
53,0.942991,0.908545
54,0.945897,0.900829
55,0.944687,0.908635
56,0.942629,0.909515
57,0.940376,0.909939
58,0.943663,0.907973
59,0.942931,0.918475
60,0.946798,0.912939
61,0.944097,0.915531
62,0.944702,0.915706
63,0.946189,0.917922
64,0.945977,0.911375
65,0.946279,0.921986
66,0.946848,0.920067
67,0.945516,0.918696
68,0.945841,0.923928
69,0.948217,0.922662
70,0.94838,0.924716
71,0.947329,0.916809
72,0.950053,0.920085
73,0.949773,0.926184
74,0.947145,0.924598
75,0.948566,0.917058
76,0.949501,0.919993
77,0.948514,0.9305
78,0.948562,0.927003
79,0.950795,0.930952
80,0.94959,0.923214
81,0.949492,0.933751
82,0.948857,0.932608
83,0.949517,0.931707
84,0.951028,0.931754
85,0.950344,0.933291
86,0.94919,0.934174
87,0.94975,0.933569
88,0.950809,0.932654
89,0.950465,0.93384
90,0.948814,0.934
91,0.950567,0.933243
92,0.950141,0.936223
93,0.950763,0.93507
94,0.949901,0.934482
95,0.95011,0.93451
96,0.949726,0.936468
97,0.9498,0.9364
98,0.950049,0.936925
99,0.949481,0.936576
100,0.94967,0.934343
