"idx","R2_concat","R2_sum"
1,0.01176,-0.222197
2,0.20071,0.097231
3,0.241445,0.151571
4,0.276895,0.257796
5,0.279413,0.239368
6,0.310865,0.241714
7,0.377635,0.259343
8,0.461406,0.259259
9,0.586281,0.257053
10,0.577894,0.257301
11,0.342759,0.280211
12,0.551346,0.278078
13,0.648473,0.270535
14,0.620198,0.294175
15,0.697883,0.293725
16,0.701981,0.320926
17,0.743718,0.344988
18,0.781379,0.372602
19,0.776276,0.390729
20,0.780886,0.356816
21,0.755706,0.514399
22,0.790126,0.503904
23,0.776926,0.502138
24,0.792964,0.640873
25,0.771547,0.611521
26,0.808139,0.654119
27,0.799088,0.726125
28,0.817837,0.764661
29,0.800366,0.770646
30,0.82377,0.739635
31,0.828394,0.777718
32,0.817593,0.734746
33,0.831031,0.78781
34,0.833056,0.785058
35,0.781797,0.793801
36,0.811934,0.809067
37,0.815519,0.81333
38,0.836418,0.809578
39,0.840677,0.82086
40,0.831224,0.823957
41,0.840654,0.831531
42,0.830678,0.834755
43,0.841695,0.78016
44,0.842554,0.828284
45,0.842938,0.803283
46,0.846402,0.832889
47,0.846754,0.835123
48,0.8428,0.815167
49,0.833123,0.831468
50,0.844285,0.792388
51,0.825234,0.842622
52,0.849978,0.840856
53,0.854895,0.828858
54,0.851999,0.826165
55,0.851086,0.840915
56,0.857366,0.843588
57,0.856402,0.845938
58,0.855954,0.837514
59,0.856187,0.832857
60,0.857943,0.831015
61,0.854614,0.846993
62,0.857213,0.847885
63,0.855173,0.845826
64,0.858982,0.850232
65,0.860665,0.8505
66,0.860358,0.84822
67,0.859509,0.852463
68,0.858657,0.851679
69,0.861495,0.843552
70,0.86146,0.852575
71,0.858063,0.850092
72,0.860252,0.840293
73,0.860024,0.851607
74,0.861712,0.847511
75,0.859922,0.848786
76,0.860443,0.840845
77,0.864041,0.84396
78,0.865778,0.839724
79,0.863286,0.848715
80,0.863667,0.855171
81,0.863858,0.852848
82,0.86131,0.855866
83,0.863966,0.854126
84,0.864888,0.854988
85,0.864148,0.853989
86,0.863222,0.854966
87,0.862197,0.854288
88,0.863288,0.854149
89,0.865465,0.855612
90,0.863342,0.853679
91,0.863511,0.854118
92,0.865197,0.852232
93,0.865768,0.855456
94,0.863623,0.853674
95,0.864676,0.857305
96,0.864199,0.854619
97,0.866621,0.855497
98,0.867215,0.856806
99,0.866373,0.855093
100,0.862938,0.856568
