"idx","R2_concat","R2_sum"
1,0.0196,0.024147
2,-0.066251,0.063482
3,0.074951,0.055116
4,0.05116,0.085226
5,0.178402,0.091264
6,0.285497,0.13238
7,0.438728,0.191163
8,0.482807,0.136499
9,0.425891,0.23801
10,0.515394,0.178814
11,0.487147,0.371487
12,0.43131,0.395725
13,0.467794,0.283513
14,0.491311,0.322402
15,0.439766,0.444746
16,0.51475,0.461318
17,0.492995,0.517953
18,0.522456,0.500177
19,0.480861,0.455494
20,0.559089,0.496685
21,0.523068,0.48092
22,0.49445,0.500248
23,0.521956,0.502464
24,0.549149,0.510415
25,0.591949,0.467582
26,0.557354,0.553153
27,0.582405,0.547636
28,0.631833,0.557198
29,0.612312,0.516409
30,0.605847,0.507934
31,0.63035,0.568061
32,0.662166,0.600013
33,0.633603,0.553832
34,0.634088,0.565739
35,0.656441,0.553021
36,0.634268,0.552341
37,0.64429,0.560057
38,0.652723,0.580599
39,0.67475,0.572227
40,0.633573,0.57479
41,0.643589,0.599541
42,0.646978,0.614112
43,0.642529,0.573062
44,0.638054,0.569734
45,0.680149,0.59374
46,0.642917,0.641547
47,0.64688,0.604775
48,0.655975,0.64666
49,0.650005,0.618347
50,0.647493,0.625507
51,0.622629,0.65748
52,0.646419,0.635453
53,0.641181,0.653457
54,0.658103,0.654582
55,0.647444,0.639192
56,0.6358,0.646334
57,0.641556,0.625842
58,0.653663,0.634559
59,0.636327,0.660751
60,0.638509,0.675402
61,0.642805,0.660252
62,0.646153,0.662876
63,0.644572,0.669703
64,0.626355,0.658797
65,0.645057,0.669155
66,0.639855,0.668372
67,0.649335,0.688173
68,0.641753,0.677272
69,0.640859,0.661028
70,0.636328,0.68506
71,0.638383,0.678684
72,0.635622,0.673598
73,0.636771,0.675731
74,0.631128,0.693626
75,0.630693,0.670415
76,0.638907,0.683199
77,0.628107,0.681255
78,0.628029,0.680186
79,0.627689,0.671494
80,0.629869,0.684386
81,0.631966,0.675841
82,0.632363,0.673876
83,0.630516,0.679973
84,0.623555,0.664144
85,0.628822,0.688457
86,0.627309,0.67769
87,0.625245,0.681456
88,0.624344,0.676001
89,0.623386,0.678901
90,0.622534,0.674805
91,0.622405,0.679272
92,0.625698,0.670948
93,0.624122,0.682777
94,0.6278,0.676872
95,0.619114,0.67018
96,0.623173,0.672718
97,0.622552,0.667665
98,0.621665,0.670242
99,0.623202,0.663165
100,0.620836,0.659918
