"idx","R2_concat","R2_sum"
1,0.223009,-0.037104
2,0.329347,0.11096
3,0.574084,0.273212
4,0.607896,0.443333
5,0.641356,0.55199
6,0.652907,0.560147
7,0.683417,0.592438
8,0.706611,0.618276
9,0.70264,0.631582
10,0.740881,0.63547
11,0.751097,0.657742
12,0.712129,0.679839
13,0.759301,0.690233
14,0.765065,0.682432
15,0.781926,0.70565
16,0.804159,0.695227
17,0.806753,0.726438
18,0.80248,0.722336
19,0.81452,0.738518
20,0.78855,0.728397
21,0.828295,0.759329
22,0.811657,0.756492
23,0.838605,0.779914
24,0.826483,0.790619
25,0.841302,0.786093
26,0.847597,0.779025
27,0.841437,0.80097
28,0.846979,0.797321
29,0.846134,0.814993
30,0.846019,0.80821
31,0.835533,0.793546
32,0.846215,0.814567
33,0.84985,0.824114
34,0.855633,0.818533
35,0.852009,0.824864
36,0.841713,0.824769
37,0.848036,0.828286
38,0.849498,0.821299
39,0.83899,0.831922
40,0.846817,0.827796
41,0.836811,0.822238
42,0.83396,0.834138
43,0.85232,0.839045
44,0.845772,0.814749
45,0.843124,0.835374
46,0.848972,0.820694
47,0.842096,0.835318
48,0.840887,0.835734
49,0.848474,0.837343
50,0.846394,0.835433
51,0.846421,0.835734
52,0.851366,0.826916
53,0.84243,0.834248
54,0.839581,0.830241
55,0.838252,0.832389
56,0.829667,0.832264
57,0.835647,0.830043
58,0.844403,0.835585
59,0.840947,0.836453
60,0.839985,0.837435
61,0.832919,0.837398
62,0.837461,0.823751
63,0.831444,0.832631
64,0.836255,0.825379
65,0.832449,0.830039
66,0.838988,0.833827
67,0.834675,0.834917
68,0.837094,0.83484
69,0.833129,0.83512
70,0.829085,0.830861
71,0.83289,0.830188
72,0.829577,0.821957
73,0.83054,0.834945
74,0.831175,0.830859
75,0.82983,0.818745
76,0.826342,0.835196
77,0.829301,0.835335
78,0.827119,0.827487
79,0.828282,0.831813
80,0.820986,0.823957
81,0.830303,0.831041
82,0.82484,0.820915
83,0.826637,0.829734
84,0.828078,0.824482
85,0.826306,0.832028
86,0.824483,0.828151
87,0.826171,0.830523
88,0.825568,0.82613
89,0.826226,0.8287
90,0.825114,0.823916
91,0.824472,0.827001
92,0.827848,0.827843
93,0.824543,0.829327
94,0.824029,0.823698
95,0.82472,0.823751
96,0.827047,0.828384
97,0.824931,0.822862
98,0.823635,0.823071
99,0.822165,0.820268
100,0.823897,0.827544
